1.0 std,2.5 std,10 std,Fire,DateTime
6,12,16,0,2024-06-29 10:49:49
6,12,16,0,2024-06-29 10:50:07
6,10,13,0,2024-06-29 10:50:26
6,10,12,0,2024-06-29 10:50:43
6,12,12,0,2024-06-29 10:51:01
7,15,15,0,2024-06-29 10:51:18
7,15,15,0,2024-06-29 10:51:35
7,13,15,0,2024-06-29 10:51:52
4,12,13,0,2024-06-29 10:52:09
7,13,16,0,2024-06-29 10:52:26
7,13,16,0,2024-06-29 10:52:43
7,13,16,0,2024-06-29 10:53:01
7,12,15,0,2024-06-29 10:53:18
7,12,15,0,2024-06-29 10:53:35
6,12,13,0,2024-06-29 10:53:54
6,12,12,0,2024-06-29 10:54:11
7,12,12,0,2024-06-29 10:54:28
7,15,15,0,2024-06-29 10:54:45
7,15,15,0,2024-06-29 10:55:03
7,13,15,0,2024-06-29 10:55:20
9,15,16,0,2024-06-29 10:55:37
7,13,15,0,2024-06-29 10:55:54
7,12,15,0,2024-06-29 10:56:11
7,10,10,0,2024-06-29 10:56:28
7,12,12,0,2024-06-29 10:56:45
9,15,15,0,2024-06-29 10:57:03
9,16,16,0,2024-06-29 10:57:20
9,18,21,0,2024-06-29 10:57:37
7,15,19,0,2024-06-29 10:57:54
6,13,15,0,2024-06-29 10:58:11
7,13,15,0,2024-06-29 10:58:28
7,12,15,0,2024-06-29 10:58:45
6,13,15,0,2024-06-29 10:59:03
6,13,16,0,2024-06-29 10:59:20
7,15,16,0,2024-06-29 10:59:37
7,18,21,0,2024-06-29 10:59:54
7,16,21,0,2024-06-29 11:00:11
7,15,16,0,2024-06-29 11:00:28
7,15,16,0,2024-06-29 11:00:45
7,12,16,0,2024-06-29 11:01:02
9,12,13,0,2024-06-29 11:01:22
7,12,13,0,2024-06-29 11:01:39
9,12,16,0,2024-06-29 11:01:56
7,13,15,0,2024-06-29 11:02:13
7,15,16,0,2024-06-29 11:02:30
7,13,15,0,2024-06-29 11:02:47
7,12,15,0,2024-06-29 11:03:05
7,15,16,0,2024-06-29 11:03:24
7,15,16,0,2024-06-29 11:03:41
7,12,13,0,2024-06-29 11:03:58
7,13,13,0,2024-06-29 11:04:15
7,12,15,0,2024-06-29 11:04:32
7,13,16,0,2024-06-29 11:04:49
9,15,18,0,2024-06-29 11:05:06
9,16,19,0,2024-06-29 11:05:24
7,13,16,0,2024-06-29 11:05:41
7,13,15,0,2024-06-29 11:05:58
7,12,13,0,2024-06-29 11:06:15
7,13,18,0,2024-06-29 11:06:32
7,10,18,0,2024-06-29 11:06:49
6,12,15,0,2024-06-29 11:07:06
7,10,13,0,2024-06-29 11:07:24
7,13,18,0,2024-06-29 11:07:41
6,13,16,0,2024-06-29 11:07:58
6,12,13,0,2024-06-29 11:08:17
6,12,13,0,2024-06-29 11:08:17
6,12,13,0,2024-06-29 11:08:17
4,10,10,0,2024-06-29 11:08:32
6,10,12,0,2024-06-29 11:08:51
6,10,13,0,2024-06-29 11:09:08
6,13,15,0,2024-06-29 11:09:26
6,13,13,0,2024-06-29 11:09:43
7,13,13,0,2024-06-29 11:10:00
9,15,15,0,2024-06-29 11:10:17
9,15,15,0,2024-06-29 11:10:34
9,15,15,0,2024-06-29 11:10:51
9,13,13,0,2024-06-29 11:11:08
9,12,12,0,2024-06-29 11:11:26
7,12,13,0,2024-06-29 11:11:43
6,12,13,0,2024-06-29 11:12:00
6,10,12,0,2024-06-29 11:12:17
6,13,13,0,2024-06-29 11:12:34
6,13,13,0,2024-06-29 11:12:51
7,12,13,0,2024-06-29 11:13:08
7,13,15,0,2024-06-29 11:13:26
7,15,16,0,2024-06-29 11:13:43
7,16,18,0,2024-06-29 11:14:00
7,15,18,0,2024-06-29 11:14:19
7,13,15,0,2024-06-29 11:14:37
6,15,15,0,2024-06-29 11:14:54
7,15,16,0,2024-06-29 11:15:11
7,13,15,0,2024-06-29 11:15:28
7,15,16,0,2024-06-29 11:15:46
7,15,18,0,2024-06-29 11:16:03
7,12,13,0,2024-06-29 11:16:20
7,12,13,0,2024-06-29 11:16:37
6,12,13,0,2024-06-29 11:16:54
6,13,13,0,2024-06-29 11:17:11
6,13,13,0,2024-06-29 11:17:28
6,12,12,0,2024-06-29 11:17:46
6,12,12,0,2024-06-29 11:18:04
6,13,13,0,2024-06-29 11:18:23
6,13,13,0,2024-06-29 11:18:23
4,13,15,0,2024-06-29 11:18:38
6,12,13,0,2024-06-29 11:18:55
7,13,16,0,2024-06-29 11:19:12
9,12,13,0,2024-06-29 11:19:29
9,12,13,0,2024-06-29 11:19:47
7,13,13,0,2024-06-29 11:20:04
7,10,12,0,2024-06-29 11:20:21
7,10,12,0,2024-06-29 11:20:38
6,12,12,0,2024-06-29 11:20:55
7,15,16,0,2024-06-29 11:21:12
6,18,19,0,2024-06-29 11:21:29
7,16,21,0,2024-06-29 11:21:49
6,15,19,0,2024-06-29 11:22:07
7,13,19,0,2024-06-29 11:22:24
6,10,18,0,2024-06-29 11:22:41
6,10,15,0,2024-06-29 11:22:58
7,12,13,0,2024-06-29 11:23:15
7,12,12,0,2024-06-29 11:23:32
6,13,13,0,2024-06-29 11:23:50
6,12,12,0,2024-06-29 11:24:07
6,10,10,0,2024-06-29 11:24:24
7,13,16,0,2024-06-29 11:24:41
7,15,19,0,2024-06-29 11:24:58
6,13,16,0,2024-06-29 11:25:15
6,12,13,0,2024-06-29 11:25:32
6,10,12,0,2024-06-29 11:25:50
6,12,13,0,2024-06-29 11:26:07
7,12,15,0,2024-06-29 11:26:24
9,13,13,0,2024-06-29 11:26:41
9,15,16,0,2024-06-29 11:26:58
10,15,16,0,2024-06-29 11:27:15
7,15,15,0,2024-06-29 11:27:32
7,15,15,0,2024-06-29 11:27:50
7,16,16,0,2024-06-29 11:28:07
6,16,18,0,2024-06-29 11:28:24
6,13,15,0,2024-06-29 11:28:41
7,12,13,0,2024-06-29 11:28:58
7,13,13,0,2024-06-29 11:29:15
7,12,13,0,2024-06-29 11:29:32
9,15,16,0,2024-06-29 11:29:49
10,13,16,0,2024-06-29 11:30:07
9,13,15,0,2024-06-29 11:30:24
9,13,15,0,2024-06-29 11:30:41
7,12,12,0,2024-06-29 11:30:58
7,13,13,0,2024-06-29 11:31:17
7,12,13,0,2024-06-29 11:31:34
7,12,12,0,2024-06-29 11:31:51
7,12,12,0,2024-06-29 11:32:09
7,12,12,0,2024-06-29 11:32:26
7,10,10,0,2024-06-29 11:32:43
6,10,10,0,2024-06-29 11:33:00
7,12,12,0,2024-06-29 11:33:17
7,13,15,0,2024-06-29 11:33:34
6,13,15,0,2024-06-29 11:33:51
6,15,16,0,2024-06-29 11:34:09
7,15,21,0,2024-06-29 11:34:26
9,13,18,0,2024-06-29 11:34:43
7,13,18,0,2024-06-29 11:35:00
7,13,18,0,2024-06-29 11:35:17
7,13,16,0,2024-06-29 11:35:34
7,13,13,0,2024-06-29 11:35:51
9,12,13,0,2024-06-29 11:36:08
7,13,13,0,2024-06-29 11:36:26
9,13,13,0,2024-06-29 11:36:45
7,16,16,0,2024-06-29 11:37:03
7,15,18,0,2024-06-29 11:37:20
9,13,15,0,2024-06-29 11:37:37
9,15,18,0,2024-06-29 11:37:54
9,15,19,0,2024-06-29 11:38:11
9,13,18,0,2024-06-29 11:38:29
9,13,18,0,2024-06-29 11:38:48
7,15,18,0,2024-06-29 11:39:05
7,13,16,0,2024-06-29 11:39:22
6,12,15,0,2024-06-29 11:39:39
6,10,13,0,2024-06-29 11:39:56
6,10,12,0,2024-06-29 11:40:13
6,12,13,0,2024-06-29 11:40:31
7,12,12,0,2024-06-29 11:40:48
7,10,10,0,2024-06-29 11:41:05
7,10,10,0,2024-06-29 11:41:22
7,10,12,0,2024-06-29 11:41:39
7,10,13,0,2024-06-29 11:41:56
7,13,15,0,2024-06-29 11:42:13
6,13,15,0,2024-06-29 11:42:31
6,12,13,0,2024-06-29 11:42:48
7,12,15,0,2024-06-29 11:43:05
7,13,13,0,2024-06-29 11:43:22
7,13,15,0,2024-06-29 11:43:39
6,13,16,0,2024-06-29 11:43:56
6,12,15,0,2024-06-29 11:44:13
6,12,12,0,2024-06-29 11:44:31
6,10,12,0,2024-06-29 11:44:48
6,9,10,0,2024-06-29 11:45:05
6,9,12,0,2024-06-29 11:45:22
6,10,13,0,2024-06-29 11:45:39
7,10,13,0,2024-06-29 11:45:56
7,10,12,0,2024-06-29 11:46:15
7,12,12,0,2024-06-29 11:46:33
7,9,9,0,2024-06-29 11:46:50
7,10,10,0,2024-06-29 11:47:07
9,13,13,0,2024-06-29 11:47:24
7,15,15,0,2024-06-29 11:47:41
6,12,13,0,2024-06-29 11:47:58
4,10,12,0,2024-06-29 11:48:15
6,10,10,0,2024-06-29 11:48:32
7,12,12,0,2024-06-29 11:48:50
6,12,12,0,2024-06-29 11:49:07
6,10,10,0,2024-06-29 11:49:24
6,12,12,0,2024-06-29 11:49:41
6,13,13,0,2024-06-29 11:49:58
6,13,15,0,2024-06-29 11:50:15
9,15,15,0,2024-06-29 11:50:32
7,15,15,0,2024-06-29 11:50:50
7,16,16,0,2024-06-29 11:51:07
7,15,16,0,2024-06-29 11:51:24
6,12,13,0,2024-06-29 11:51:43
6,12,13,0,2024-06-29 11:52:01
6,13,13,0,2024-06-29 11:52:18
6,13,15,0,2024-06-29 11:52:35
7,15,16,0,2024-06-29 11:52:53
6,15,16,0,2024-06-29 11:53:10
6,15,15,0,2024-06-29 11:53:27
7,15,15,0,2024-06-29 11:53:46
7,13,13,0,2024-06-29 11:54:03
7,12,12,0,2024-06-29 11:54:20
7,10,12,0,2024-06-29 11:54:37
7,10,13,0,2024-06-29 11:54:54
7,12,13,0,2024-06-29 11:55:12
6,9,9,0,2024-06-29 11:55:29
6,9,9,0,2024-06-29 11:55:46
6,10,10,0,2024-06-29 11:56:03
7,13,13,0,2024-06-29 11:56:20
7,13,16,0,2024-06-29 11:56:37
7,13,19,0,2024-06-29 11:56:55
9,13,18,0,2024-06-29 11:57:13
9,12,16,0,2024-06-29 11:57:32
7,12,13,0,2024-06-29 11:57:49
6,13,13,0,2024-06-29 11:58:06
6,16,16,0,2024-06-29 11:58:23
6,16,19,0,2024-06-29 11:58:41
6,16,19,0,2024-06-29 11:58:57
7,16,21,0,2024-06-29 11:59:15
7,13,19,0,2024-06-29 11:59:32
6,12,13,0,2024-06-29 11:59:49
6,12,13,0,2024-06-29 12:00:06
6,12,13,0,2024-06-29 12:00:23
6,10,12,0,2024-06-29 12:00:40
6,13,13,0,2024-06-29 12:01:04
6,15,15,0,2024-06-29 12:01:22
6,15,15,0,2024-06-29 12:01:39
6,13,16,0,2024-06-29 12:01:56
7,10,13,0,2024-06-29 12:02:13
7,9,12,0,2024-06-29 12:02:30
7,10,15,0,2024-06-29 12:02:47
6,10,12,0,2024-06-29 12:03:04
4,12,15,0,2024-06-29 12:03:22
4,12,15,0,2024-06-29 12:03:39
4,10,12,0,2024-06-29 12:03:56
6,10,12,0,2024-06-29 12:04:13
6,13,13,0,2024-06-29 12:04:30
7,13,13,0,2024-06-29 12:04:47
7,12,13,0,2024-06-29 12:05:04
7,12,13,0,2024-06-29 12:05:22
7,12,15,0,2024-06-29 12:05:39
7,12,13,0,2024-06-29 12:05:56
6,10,10,0,2024-06-29 12:06:13
6,10,10,0,2024-06-29 12:06:30
6,12,12,0,2024-06-29 12:06:49
6,10,13,0,2024-06-29 12:07:06
6,12,15,0,2024-06-29 12:07:24
6,12,15,0,2024-06-29 12:07:41
6,12,15,0,2024-06-29 12:07:58
7,10,10,0,2024-06-29 12:08:15
7,9,10,0,2024-06-29 12:08:32
6,9,10,0,2024-06-29 12:08:51
6,9,10,0,2024-06-29 12:09:08
6,12,13,0,2024-06-29 12:09:25
6,13,15,0,2024-06-29 12:09:43
6,12,13,0,2024-06-29 12:10:00
6,10,12,0,2024-06-29 12:10:17
6,9,9,0,2024-06-29 12:10:34
6,10,10,0,2024-06-29 12:10:51
4,10,10,0,2024-06-29 12:11:08
4,10,12,0,2024-06-29 12:11:25
6,12,12,0,2024-06-29 12:11:43
7,12,12,0,2024-06-29 12:12:00
6,9,13,0,2024-06-29 12:12:25
6,9,13,0,2024-06-29 12:12:42
6,9,12,0,2024-06-29 12:12:59
6,10,12,0,2024-06-29 12:13:16
6,10,12,0,2024-06-29 12:13:33
6,12,12,0,2024-06-29 12:13:51
6,10,12,0,2024-06-29 12:14:08
6,9,10,0,2024-06-29 12:14:27
6,10,12,0,2024-06-29 12:14:44
6,10,15,0,2024-06-29 12:15:01
6,12,13,0,2024-06-29 12:15:18
7,10,12,0,2024-06-29 12:15:35
7,9,13,0,2024-06-29 12:15:53
7,9,15,0,2024-06-29 12:16:10
